RunID,Power,TurnNum,Phase,InteractionType,CharLength,TokenCount,PromptSnippet
run_20250418_144816,ITALY,80,S1909R,NEGOTIATION_ROUND_1,11975,2904,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,81,S1909R,NEGOTIATION_ROUND_2,13152,3187,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,82,S1909R,ORDER_SUBMISSION,13459,3271,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: F GRE, A VEN, A V..."
run_20250418_144816,ITALY,83,F1909M,NEGOTIATION_ROUND_1,12347,2983,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,84,F1909M,NEGOTIATION_ROUND_2,13933,3348,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,85,F1909M,ORDER_SUBMISSION,13950,3381,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: F GRE, A VEN, A V..."
run_20250418_144816,ITALY,86,W1909A,ORDER_SUBMISSION,12514,3092,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: F GRE, A VEN, A V..."
run_20250418_144816,ITALY,87,S1910M,NEGOTIATION_ROUND_1,12609,3036,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,88,S1910M,NEGOTIATION_ROUND_2,14460,3467,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,89,S1910M,ORDER_SUBMISSION,15140,3633,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: F GRE, A VEN, A V..."
run_20250418_144816,ITALY,90,F1910M,NEGOTIATION_ROUND_1,13828,3298,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,91,F1910M,NEGOTIATION_ROUND_2,15725,3719,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,92,F1910M,ORDER_SUBMISSION,16394,3896,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: F GRE, A VEN, A V..."
run_20250418_144816,ITALY,93,S1911M,NEGOTIATION_ROUND_1,15216,3594,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,94,S1911M,NEGOTIATION_ROUND_2,17297,4058,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,95,S1911M,ORDER_SUBMISSION,17779,4187,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: F GRE, A VEN, A V..."
run_20250418_144816,ITALY,96,F1911M,NEGOTIATION_ROUND_1,16345,3837,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,97,F1911M,NEGOTIATION_ROUND_2,18330,4297,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,98,F1911M,ORDER_SUBMISSION,18024,4248,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: F GRE, A VEN, A V..."
run_20250418_144816,ITALY,99,S1912M,NEGOTIATION_ROUND_1,16697,3929,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,100,S1912M,NEGOTIATION_ROUND_2,18776,4390,"You are ITALY, playing Diplomacy. == OVERALL GOAL == Analyze the situation, communicate if in negoti..."
run_20250418_144816,ITALY,101,S1912M,ORDER_SUBMISSION,19763,4641,"You are ITALY, playing Diplomacy.  == CURRENT GAME STATE (Focus!) ==   Your Units: F GRE, A VEN, A V..."
